Trustful 	Mandel	$$..
Honesty 	Paul	*$$*
Purposeful 	Ansel	..$$..
Generous 	Atwood	($$)
Coward 	Claude	)$$(
Intelligent 	Alva	$$!
Loyal 	Sid	$$``
Rational 	Philip	$$~
Cozy 	Mark	$$__
Jump-up 	Stanley	$$_
Just 	Sampson	$$==
Rational 	Werner	$$
Punctual 	Ron	$$
Inventive 	Cash	$$
Purposeful 	Sean	$$
Orderly 	Alston	$$
Qualified 	Myron	$$
Adaptable 	Morton	$$
Cunning 	Hilary	$$
Efficient 	Armand	$$
Amiable 	Eric	$$
Loyal 	Quincy	$$
Precise 	Gabriel	$$
Dynamic 	Elmer	$$
Coward 	Roderick	$$
Dutiful 	Nicholas	$$
Frugal 	Julius	$$
Aspiring 	Lionel	$$
Honest 	Norton	$$
Cozy 	Hale	$$
Crude 	Reuben	$$
Lovely 	Nathan	$$
Dynamic 	Stanford	$$
Reasonable 	Yale	$$
Unholiness 	Harry	$$
Capable 	Andrew	$$
Blinkered 	Sidney	$$
Precise 	Kennedy	$$
Romantic 	Timothy	$$
Good 	Clarence	$$
Initiative 	Upton	$$
Ambitious 	Philip	$$
Humble 	Ingemar	$$
Realistic 	Fabian	$$
Painstaking 	Mick	$$
Rational 	August	$$
Orderly 	Kevin	$$
Rapture 	Quintion	$$
Earnest 	Abraham	$$
Good 	Antonio	$$
Corrupt 	Ian	$$
Faceless 	Egbert	$$
Dynamic 	Aubrey	$$
Devoted 	Zachary	$$
Generous 	Jeff	$$
Ambitious 	Tobias	$$
Hateful 	Quintion	$$
Generous 	Kirk	$$
Clever 	Ken	$$
Forceful 	Hyman	$$
Lovely 	Leo	$$
Forceful 	Richard	$$
Coward 	Ferdinand	$$
Radient 	Alan	$$
Humble 	Arthur	$$
Honesty 	Kevin	$$
Frank 	Kent	$$
Humor 	Ronald	$$
Responsible 	King	$$
Violent 	Webb	$$
Modest 	Virgil	$$
Honesty 	Stev	$$
Qualified 	Marico	$$
Active 	Philip	$$
Capable 	Mick	$$
Honest 	Adam	$$
Rapture 	Leopold	$$
Brutal 	Abner	$$
Realistic 	Tony	$$
Honey 	Yale	$$
Precise 	Carr	$$
Helpful 	Max	$$
Liberal 	Phil	$$
Blinkered 	Armand	$$
Initiative 	Colby	$$
Beautiful 	Elton	$$
Humble 	Gavin	$$
Coward 	Jared	$$
Competent 	Webb	$$
Coward 	Sebastian	$$
Frank 	Steven	$$
Radient 	Lewis	$$
Radient 	Hogan	$$
Adroit 	Orville	$$
Reasonable 	Jack	$$
Honey 	Antoine	$$
Dependable 	Edgar	$$
Orderly 	Mike	$$
Coward 	Ashbur	$$
Efficient 	Alan	$$
Brutal 	Asa	$$
Creative 	Heather	$$
Dependable 	Yves	$$
Diplomatic 	Len	$$
Candid 	Ted	$$
Dedicated 	Tony	$$
Hospitable 	Larry	$$
Corrupt 	Abner	$$
Lovely 	Tyler	$$
Violent 	Tyler	
Hearty 	Isaac	
Amiable 	George	
Brutal 	Frank	
Hateful 	Arvin	
Punctual 	William	
Humble 	Walter	
Able 	Thomas	
Jump-up 	Jacob	
Hospitable 	Joyce	
Hearty 	Oliver	
Precise 	Stan	
Active 	Wilbur	
Beautiful 	Xavier	
Gentle 	Sam	
Rapture 	Howar	
Cynical 	Julius	
Active 	Silvester	
Dashing 	Kerr	
Forceful 	Yehudi	
Honesty 	Rudolf	
Brutal 	Mortimer	
Inventive 	Tom	
Competent 	Magee	
Cynical 	Wayne	
Just 	Norton	
Honey 	Kelly	
Aggressive 	Jared	
Evil 	Marshall	
Ambitious 	Nick	
Cynical 	Andy	
Discreet 	Rupert	
Brave 	Jonas	
Methodical 	Abner	
Logical 	Conrad	
Careless 	Edmund	
Dutiful 	Earl	
Expressive 	Arvin	
Honest 	Sebastian	
Logical 	Prescott	
Aspiring 	Chasel	
Rapture 	Larry	
Humorous 	Kerwin	
Honey 	Abel	
Qualified 	Jack	
Coward 	Quinn	
Original 	Kim	
Initiative 	Mark	
Creative 	Louis	
Good 	Wendell	
Objective 	Hugh	
Crappy 	Wythe	
Dishonest 	Julius	
Audacious 	Mark	
Painstaking 	Kerr	
Hearty 	Luther	
Amicable 	Dwight	
Responsible 	Noah	
Humble 	Drew	
Charitable 	Lyle	
Beautiful 	Todd	
Precise 	Raymond	
Modest 	Francis	
Genteel 	Winston	
Expressive 	Haley	
Forceful 	Levi	
Crummy 	Roy	
Romantic 	Mick	
Cunning 	Hogan	
Generous 	Hayden	
Violent 	Abel	
Alert 	Virgil	
Motivated 	Carl	
Careless 	Herman	
Cuckoo 	Tom	
Romantic 	Uriah	
Dependable 	Nick	
Ingenious 	Carl	
Diplomatic 	Gene	
Radient 	Ford	
Cuckoo 	Yehudi	
Adroit 	Nat	
Humble 	Christian	
Crummy 	Montague	
Aggressive 	Drew	
Persevering 	Chad	
Modest 	Sam	
Punctual 	Adolph	
Genteel 	Abel	
Faceless 	Phil	
Crusty 	Clarence	
Crappy 	Isaac	
Dutiful 	Stanley	
Clever 	Edgar	
Aspiring 	Tiffany	
Charitable 	Ford	
Brutal 	Tiffany	
Purposeful 	Wayne	
Forceful 	Lennon	
Reasonable 	Gary	
Frank 	Aaron	
Cozy 	Lucien	
Greedy 	Randolph	
Hearty 	Wilbur	
Adroit 	Sandy	
Candid 	Kenneth	
Nice 	Gabriel	
Dishonest 	Tab	
Greedy 	Dylan	
Honesty 	Fabian	
Diplomatic 	Kim	
Punctual 	Newman	
Energetic 	Robert	
Blinkered 	Robin	
Dashing 	Armand	
Inventive 	Sam	
Modest 	Archer	
Lovely 	Joyce	
Humor 	Isidore	
Liberal 	Chester	
Energetic 	Kerr	
Capable 	Alvin	
Helpful 	Isaac	
Rapture 	Franklin	
Trustful 	Lyle	
Dependable 	Leo	
Honey 	Fitch	
Dynamic 	Wright	
Hearty 	Claude	
Practical 	Wythe	
Frank 	Donald	
Generous 	Morgan	
Rapture 	Alger	
Good 	Herman	
Faceless 	Victor	
Hearty 	Levi	
Nice 	Elton	
Crappy 	Stan	
Jump-up 	Sean	
Initiative 	Alger	
Genteel 	Wilbur	
Rational 	Rodney	
Amicable 	Wilbur	
Liberal 	Adair	
Active 	Jonathan	
Responsible 	Ed	
Realistic 	Sean	
Faceless 	Milo	
Gentle 	Kevin	
Frugal 	John	
Generous 	Duncan	
Punctual 	Ahern	
Beautiful 	Kevin	
Cruel 	Rachel	
Crummy 	Ahern	
Trustful 	Reg	
Amiable 	Henry	
Romantic 	Warner	
Crude 	Egbert	
Honesty 	Harriet	
Delicious 	Harlan	
Hearty 	Woodrow	
Discreet 	Jerome	
Original 	Woodrow	
Orderly 	Everley	
Dutiful 	Tom	
Humor 	Ziv	
Helpful 	Myron	
Frank 	Jo	
Competent 	Atwood	
Competent 	Donald	
Logical 	Magee	
Crusty 	Elvis	
Punctual 	Gale	
Forceful 	Quennel	
Crazy 	Jim	
Critical 	Webb	
Audacious 	Vivian	
Frank 	Arlen	
Amicable 	Armand	
Good 	Malcolm	
Rapture 	Oliver	
Blinkered 	Jason	
Candid 	Nicholas	
Careful 	Quincy	
Trustful 	Hardy	
Painstaking 	Amos	
Reasonable 	Todd	
Motivated 	Sid	
Learned 	Humphrey	
Devoted 	Miles	
Corrupt 	Joshua	
Dutiful 	Ahern	
Independent 	Carl	
Aspiring 	Alva	
Trustful 	Maurice	
Dutiful 	Theobald	
Hateful 	Marvin	
Able 	Franklin	
Frank 	Luther	
Rapture 	King	
Jump-up 	Alvin	
Radient 	Drew	
Critical 	Sampson	
Impartial 	Murphy	
Adaptable 	Toby	
Earnest 	Harvey	
Analytical 	Quinn	
Genteel 	Tracy	
Hospitable 	Regan	
Evil 	Edward	
Good 	Antoine	
Generous 	Levi	
Romantic 	Myron	
Violent 	Sean	
Nice 	Hunter	
Beautiful 	Wythe	
Audacious 	Kyle	
Energetic 	Evan	
Efficient 	Hale	
Practical 	Marvin	
Loyal 	Isidore	
Audacious 	Virgil	
Modest 	Walter	
Crazy 	Harley	
Violent 	Les	
Violent 	Howar	
Helpful 	Eden	
Earnest 	Henry	
Loyal 	Sidon	
Capable 	Ivan	
Generous 	Page	
Rapture 	Harriet	
Blinkered 	Edwiin	
Friendly 	Michell	
Crusty 	Lewis	
Crude 	Ian	
Liberal 	Alston	
Radient 	Jay	
Lovely 	Ernest	
Genteel 	Marico	
Capable 	Joshua	
Generous 	Everley	
Romantic 	Lyle	
Friendly 	Michael	
Cunning 	Tim	
Helpful 	Ternence	
Brave 	Ziv	
Honest 	Fitch	
Crappy 	Jo	
Discreet 	Michell	
Lovely 	Jeffrey	
Hearty 	Page	
Learned 	Paul	
Honey 	Jacob	
Learned 	James	
Orderly 	Jared	
Dutiful 	Enoch	
Modest 	Addison	
Independent 	Eric	
Expressive 	Scott	
Able 	Edmund	
Alert 	Valentine	
Creative 	Page	
Dedicated 	Quincy	
Forceful 	Hale	
Crusty 	Lawrence	
Precise 	Duncan	
Capable 	Saxon	
Active 	Sean	
Independent 	Omar	
Coward 	Orville	
Jump-up 	Quincy	
Evil 	Abbott	
Delicious 	Peter	
Brave 	Algernon	
Jump-up 	Chasel	
Efficient 	Nathan	
Dutiful 	Yves	
Trustful 	Ralap	
Punctual 	Stan	
Clever 	Quennel	
Genteel 	Marlon	
Crude 	Albert	
Hearty 	Kevin	
Earnest 	Phil	
Adroit 	Chad	
Reasonable 	Jay	
Competent 	Tyler	
Devoted 	Julian	
Logical 	Duncan	
Expressive 	Harry	
Romantic 	Pete	
Liberal 	Wythe	
Dedicated 	Ian	
Loyal 	Ziv	
Hateful 	Wilbur	
Dynamic 	Aaron	
Audacious 	Murray	
Evil 	Ferdinand	
Candid 	Justin	
Cuckoo 	Douglas	
Active 	Ziv	
Cooperative 	Matt	
Efficient 	Andy	
Amicable 	Lyle	
Loyal 	Leopold	
Cozy 	Todd	
Learned 	Clyde	
Capable 	Payne	
Active 	Page	
Brutal 	Willie	
Generous 	Robin	
Audacious 	Myron	
Cozy 	Gale	
Ambitious 	Merlin	
Earnest 	Duke	
Logical 	Ogden	
Generous 	James	
Ambitious 	Harley	
Impartial 	Arthur	
Romantic 	Philip	
Good 	Ken	
Modest 	Gary	
Orderly 	Orville	
Learned 	Omar	
Methodical 	Fitch	
Crude 	Merlin	
Creative 	Henry	
Aspiring 	Hunter	
Nice 	Duke	
Dishonest 	Rodney	
Cuckoo 	Saxon	
Logical 	Lance	
Adaptable 	Duke	
Helpful 	Malcolm	
Frugal 	Ronald	
Honest 	Tyler	
Friendly 	Arlen	
Discreet 	Clark	
Faithful 	Gilbert	
Genteel 	Antoine	
Cynical 	Stanford	
Inventive 	Quinn	
Ambitious 	Tim	
Rapture 	Primo	
Devoted 	Jeffrey	
Independent 	Ron	
Capable 	Gene	
Practical 	Nat	
Discreet 	Jared	
Corrupt 	Webb	
Beautiful 	Norton	
Efficient 	Ted	
Crusty 	Abbott	
Honey 	Ulysses	
Energetic 	Tobias	
Honesty 	Truman	
Honey 	Kim	
Careful 	Ingram	
Trustful 	Myron	
Trustful 	Taylor	
Dishonest 	Kerwin	
Candid 	Jerry	
Generous 	Clare	
Learned 	Leopold	
Frank 	Chad	
Realistic 	Noel	
Realistic 	Rudolf	
Greedy 	Miles	
Frank 	Kenneth	
Candid 	Donahue	
Methodical 	Eric	
Hearty 	Les	
Critical 	Ronald	
Hearty 	Hugo	
Helpful 	Claude	
Objective 	Nat	
Active 	Andrew	
Romantic 	Everley	
Evil 	Aaron	
Just 	Moore	
Qualified 	Tom	
Helpful 	Elmer	
Brutal 	Kyle	
Lovely 	Orville	
Apprehensive 	Reg	
Realistic 	Larry	
Clever 	Eli	
Crappy 	Alan	
Crude 	Rex	
Rapture 	Prescott	
Efficient 	Rudolf	
Liberal 	Antony	
Nice 	Arvin	
Discreet 	Rock	
Brutal 	Theodore	
Loyal 	Sebastian	
Helpful 	Hobart	
Motivated 	Alston	
Trustful 	Abraham	
Honest 	Yale	
Hateful 	Spencer	
Candid 	Charles	
Impartial 	Marvin	
Diplomatic 	Rock	
Generous 	Elliot	
Painstaking 	Rod	
Rational 	King	
Crappy 	Claude	
Liberal 	Mark	
Persevering 	Leo	
Romantic 	Geoff	
Good 	Hunter	
Aspiring 	Everley	
Brutal 	Donald	
Generous 	Payne	
Frugal 	Kerr	
Corrupt 	Phil	
Cunning 	John	
Confident 	Jason	
Active 	Nathaniel	
Clever 	Willie	
Nice 	Leopold	
Honest 	Allen	
Expressive 	Joyce	
Efficient 	Taylor	
Devoted 	Henry	
Hearty 	Roy	
Jump-up 	Robin	
Careless 	Gale	
Dedicated 	Lance	
Cozy 	Spencer	
Romantic 	Nathan	
Painstaking 	Yves	
Able 	Dunn	
Original 	Noel	
Aspiring 	Kirk	
Realistic 	Monroe	
Realistic 	Yale	
Methodical 	Kyle	
Critical 	Arnold	
Hearty 	Colbert	
Crude 	Ivan	
Honesty 	August	
Crappy 	Elliot	
Friendly 	Porter	
Cunning 	Donald	
Candid 	Harry	
Faceless 	Merle	
Cruel 	Howar	
Frugal 	Vito	
Persevering 	Rod	
Precise 	Simon	
Crusty 	Webb	
Romantic 	Lance	
Coward 	Vic	
Precise 	Wilbur	
Violent 	Kevin	
Frank 	Levi	
Aspiring 	Sidney	
Gentle 	Werner	
Lovely 	Dwight	
Hearty 	Martin	
Crappy 	Henry	
Generous 	Abraham	
Gentle 	Gary	
Friendly 	Claude	
Cunning 	Donahue	
Greedy 	Albert	
Cruel 	Joshua	
Loyal 	Addison	
Crazy 	Nicholas	
Nice 	Levi	
Adroit 	Abel	
Friendly 	Lennon	
Gentle 	Colin	
Loyal 	Quintion	
Practical 	Jerry	
Hateful 	Quincy	
Competent 	Lewis	
Crummy 	Merlin	
Romantic 	Lionel	
Honey 	Vic	
Punctual 	Edison	
Critical 	Tobias	
Ingenious 	Merle	
Cunning 	Vincent	
Honest 	Carr	
Orderly 	August	
Crusty 	Jason	
Cruel 	Wendell	
Dishonest 	Carter	
Liberal 	Harlan	
Brutal 	Vito	
Punctual 	Jeff	
Qualified 	Rodney	
Violent 	Meredith	
Competent 	Elroy	
Beautiful 	Ken	
Crude 	Elliot	
Reasonable 	Paul	
Dedicated 	George	
Evil 	Jonas	
Audacious 	Ives	
Humorous 	Carter	
Crazy 	Quincy	
Violent 	Stev	
Capable 	Earl	
Loyal 	Ron	
Faceless 	Marsh	
Just 	Hale	
Dashing 	Kent	
Hateful 	Ashbur	
Careful 	Gabriel	
Good 	Mike	
Alert 	Algernon	
Competent 	Aaron	
Responsible 	Ken	
Evil 	Joshua	
Critical 	Jim	
Dutiful 	Ziv	
Energetic 	Thomas	
Violent 	Paddy	
Amicable 	Truman	
Ambitious 	Gavin	
Alert 	Isidore	
Confident 	Lionel	
Crappy 	Aldrich	
Efficient 	Reuben	
Adroit 	Elton	
Cozy 	Julian	
Unholiness 	Mark	
Beautiful 	Hiram	
Cuckoo 	Charles	
Initiative 	Jesse	
Dutiful 	Lyndon	
Motivated 	Jack	
Independent 	Gene	
Forceful 	Jacob	
Aggressive 	Isaac	
Motivated 	Mandel	
Evil 	Leopold	
Hearty 	Kirk	
Brutal 	Orville	
Qualified 	Antony	
Frank 	Hyman	
Generous 	Chad	
Methodical 	Rex	
Romantic 	Rory	
Liberal 	Zebulon	
Honesty 	Cliff	
Crude 	Hunter	
Devoted 	Adair	
Honest 	Franklin	
Generous 	Louis	
Creative 	Morton	
Modest 	Luther	
Humble 	Adonis	
Liberal 	Tiffany	
Devoted 	Ogden	
Candid 	Marcus	
Ambitious 	Aaron	
Liberal 	Walker	
Cruel 	Jared	
Corrupt 	Thomas	
Devoted 	Hugo	
Adroit 	Sidney	
Evil 	Alva	
Precise 	Kenneth	
Aggressive 	Perry	
Audacious 	Gene	
Good 	Carl	
Loyal 	Gary	
Dependable 	Lewis	
Dashing 	Porter	
Painstaking 	Earl	
Gentle 	Truman	
Candid 	Clark	
Realistic 	Saxon	
Modest 	Philip	
Frank 	Algernon	
Honey 	Enoch	
Greedy 	Clarence	
Rational 	Vito	
Romantic 	Richard	
Crappy 	Eli	
Careful 	Rod	
Expressive 	Rex	
Just 	Douglas	
Adroit 	Porter	
Realistic 	Claude	
Initiative 	Clark	
Punctual 	Adonis	
Romantic 	Roy	
Dynamic 	Claude	
Ambitious 	Warner	
Devoted 	Morton	
Adaptable 	Edison	
Dynamic 	Upton	
Independent 	Jay	
Reasonable 	Rex	
Genteel 	August	
Efficient 	Adam	
Radient 	Tyler	
Frugal 	Philip	
Active 	Larry	
Frank 	Edison	
Impartial 	Arlen	
Crusty 	Truman	
Original 	Kelly	
Candid 	Roderick	
Dishonest 	Harley	
Crappy 	Theobald	
Cooperative 	Drew	
Initiative 	Mick	
Cozy 	Wright	
Hearty 	Patrick	
Hateful 	Stanley	
Ingenious 	Henry	
Motivated 	Colby	
Active 	Nicholas	
Delicious 	Truman	
Modest 	August	
Crummy 	Harold	
Competent 	Abner	
Active 	Adair	
Radient 	Quincy	
Motivated 	Kevin	
Motivated 	Nat	
Inventive 	Isaac	
Honey 	Paddy	
Rapture 	Sandy	
Lovely 	Chad	
Initiative 	Clyde	
Diplomatic 	Ken	
Honest 	Drew	
Romantic 	Marcus	
Purposeful 	Ahern	
Cozy 	Rachel	
Cuckoo 	Allen	
Gentle 	Larry	
Loyal 	Cash	
Dedicated 	Justin	
Cozy 	Solomon	
Motivated 	Xavier	
Hateful 	Wendell	
Violent 	Solomon	
Amiable 	Myron	
Genteel 	Isidore	
Motivated 	Dylan	
Inventive 	Giles	
Ambitious 	Eugene	
Precise 	Carl	
Jump-up 	Jason	
Cozy 	Len	
Ingenious 	Conrad	
Original 	Hogan	
Clever 	Quinn	
Hearty 	Alston	
Dutiful 	Reg	
Honesty 	Ronald	
Able 	Stan	
Modest 	Stev	
Rapture 	Claude	
Reasonable 	Tracy	
Impartial 	Edward	
Cruel 	Lou	
Dynamic 	Hyman	
Dashing 	Webb	
Logical 	Adam	
Qualified 	Paul	
Brave 	Jeffrey	
Trustful 	Phil	
Crappy 	Saxon	
Gentle 	Sid	
Objective 	Julius	
Rapture 	Eric	
Learned 	Wayne	
Orderly 	Elvis	
Dynamic 	Edison	
Candid 	Alger	
Modest 	Ferdinand	
Motivated 	Yves	
Violent 	Fitch	
Dynamic 	Haley	
Rational 	Abner	
Energetic 	Hale	
Brave 	Egbert	
Humble 	Willie	
Dashing 	Noel	
Inventive 	Kevin	
Objective 	Truman	
Amicable 	Wythe	
Audacious 	Marlon	
Devoted 	Xavier	
Reasonable 	Paddy	
Original 	Philip	
Delicious 	Colin	
Frugal 	Ansel	
Faceless 	Monroe	
Expressive 	Hyman	
Alert 	Hyman	
Confident 	Alvin	
Confident 	Wayne	
Creative 	Sid	
Just 	Nigel	
Dedicated 	Harry	
Modest 	Maurice	
Amicable 	Sam	
Beautiful 	Murphy	
Dedicated 	Nick	
Cooperative 	Vito	
Rapture 	Taylor	
Initiative 	Simon	
Cozy 	Ted	
Frugal 	Mike	
Dashing 	Noah	
Expressive 	Hardy	
Jump-up 	Drew	
Inventive 	Xavier	
Methodical 	Amos	
Analytical 	Elmer	
Confident 	Verne	
Candid 	Yves	
Cruel 	Ron	
Adroit 	Enoch	
Initiative 	Ian	
Critical 	Richard	
Romantic 	Toby	
Enthusiastic 	Nat	
Genteel 	Carr	
Analytical 	Marsh	
Expressive 	Kirk	
Candid 	Leonard	
Forceful 	Rock	
Adaptable 	Julius	
Precise 	Joyce	
Clever 	Haley	
Helpful 	Jason	
Ingenious 	Edison	
Greedy 	Elliot	
Crude 	Moses	
Precise 	Lynn	
Liberal 	Lance	
Intellective 	Jo	
Cuckoo 	Eli	
Industrious 	Rod	
Coward 	Geoffrey	
Careful 	Toby	
Rational 	Xavier	
Hearty 	Jo	
Objective 	Andrew	
Reasonable 	Augus	
Clever 	Nathan	
Adroit 	Julian	
Lovely 	Todd	
Humble 	Alva	
Cuckoo 	Kerwin	
Cozy 	Chad	
Frugal 	Ingram	
Faceless 	Kim	
Amiable 	Marsh	
Dependable 	Lou	
Cynical 	Len	
Crusty 	Frank	
Delicious 	Cecil	
Charitable 	King	
Faceless 	Mick	
Reasonable 	Sidon	
Discreet 	Rachel	
Crappy 	Zebulon	
Impartial 	Simon	
Delicious 	Milo	
Gentle 	Maurice	
Dedicated 	Oliver	
Faithful 	Kent	
Corrupt 	Abel	
Honey 	Valentine	
Active 	James	
Amiable 	Abel	
Generous 	Abner	
Logical 	Merlin	
Evil 	Heather	
Jump-up 	Cecil	
Cunning 	Harold	
Diplomatic 	Jonas	
Confident 	Ken	
Dutiful 	Augus	
Clever 	Maxwell	
Cynical 	Yale	
Active 	Ted	
Delicious 	Abbott	
Faceless 	Cliff	
Corrupt 	Lou	
Rapture 	Jesse	
Efficient 	Porter	
Rapture 	Morgan	
Amicable 	Pete	
Modest 	Elmer	
Frugal 	Heather	
Methodical 	Chad	
Motivated 	Ivan	
Charitable 	Dunn	
Punctual 	Abel	
Independent 	Asa	
Rapture 	Ronald	
Ambitious 	Page	
Dishonest 	Howar	
Brutal 	Louis	
Lovely 	Victor	
Rational 	Winfred	
Alert 	Harry	
Crappy 	Eugene	
Clever 	Abraham	
Objective 	Lou	
Cunning 	Albert	
Rational 	Jeffrey	
Coward 	Marico	
Careful 	Sid	
Crazy 	Henry	
Competent 	Steven	
Generous 	Ward	
Devoted 	Dylan	
